         in int              in bit       out real    out sim int         out sim bit          error
             40            00101000           70.0             70            01000110            0.0
             14            00001110          104.5            104            01101000            0.5
            -22            11101010          -10.5            -11            11110101            0.5
             19            00010011         -10.75            -11            11110101           0.25
            -79            10110001        -100.25           -100            10011100          -0.25
             66            01000010          -42.5            -43            11010101            0.5
            -25            11100111          88.25             88            01011000           0.25
            -71            10111001         -128.0           -128            10000000            0.0
             84            01010100            5.0              5            00000101            0.0
            126            01111110          127.0            127            01111111            0.0
            -88            10101000            5.0              5            00000101            0.0
            -60            11000100         -128.0           -128            10000000            0.0
            -52            11001100         -128.0           -128            10000000            0.0
            -97            10011111         -128.0           -128            10000000            0.0
            -17            11101111         -128.0           -128            10000000            0.0
           -120            10001000         -128.0           -128            10000000            0.0
             70            01000110         -117.5           -118            10001010            0.5
           -101            10011011         -36.75            -37            11011011           0.25
             25            00011001         -128.0           -128            10000000            0.0
             66            01000010          127.0            127            01111111            0.0
             37            00100101          127.0            127            01111111            0.0
              2            00000010           77.5             77            01001101            0.5
            102            01100110          127.0            127            01111111            0.0
             87            01010111          127.0            127            01111111            0.0
            -79            10110001          35.75             36            00100100          -0.25
              2            00000010         -128.0           -128            10000000            0.0
            -58            11000110          -97.5            -98            10011110            0.5
            -59            11000101         -128.0           -128            10000000            0.0
             36            00100100          -55.0            -55            11001001            0.0
            -91            10100101         -87.25            -87            10101001          -0.25
             51            00110011         -92.75            -93            10100011           0.25
             15            00001111          127.0            127            01111111            0.0
            102            01100110          127.0            127            01111111            0.0
            -10            11110110           93.5             93            01011101            0.5
             13            00001101           2.75              3            00000011          -0.25
             43            00101011         101.25            101            01100101           0.25
            -77            10110011         -48.75            -49            11001111           0.25
             59            00111011         -50.75            -51            11001101           0.25
             95            01011111          127.0            127            01111111            0.0
             86            01010110          127.0            127            01111111            0.0
            -13            11110011          127.0            127            01111111            0.0
            122            01111010          127.0            127            01111111            0.0
            -44            11010100           74.0             74            01001010            0.0
           -106            10010110         -128.0           -128            10000000            0.0
            -29            11100011         -128.0           -128            10000000            0.0
           -121            10000111         -128.0           -128            10000000            0.0
            -26            11100110         -128.0           -128            10000000            0.0
             27            00011011          -4.75             -5            11111011           0.25
            -66            10111110          -61.5            -62            11000010            0.5
            -82            10101110         -128.0           -128            10000000            0.0
           -119            10001001         -128.0           -128            10000000            0.0
             16            00010000         -128.0           -128            10000000            0.0
             32            00100000           88.0             88            01011000            0.0
           -112            10010000         -128.0           -128            10000000            0.0
             76            01001100          -91.0            -91            10100101            0.0
            -76            10110100           19.0             19            00010011            0.0
           -115            10001101         -128.0           -128            10000000            0.0
             24            00011000         -128.0           -128            10000000            0.0
           -124            10000100         -128.0           -128            10000000            0.0
            -73            10110111         -128.0           -128            10000000            0.0
            121            01111001          65.75             66            01000010          -0.25
             90            01011010          127.0            127            01111111            0.0
           -121            10000111         -31.75            -32            11100000           0.25
             88            01011000          -88.0            -88            10101000            0.0
           -101            10011011          -0.75             -1            11111111           0.25
              9            00001001         -128.0           -128            10000000            0.0
            -98            10011110         -128.0           -128            10000000            0.0
            111            01101111          -1.75             -2            11111110           0.25
            -45            11010011          50.25             50            00110010           0.25
            -82            10101110         -128.0           -128            10000000            0.0
            -42            11010110         -128.0           -128            10000000            0.0
           -103            10011001         -128.0           -128            10000000            0.0
            -84            10101100         -128.0           -128            10000000            0.0
            103            01100111          12.25             12            00001100           0.25
            -98            10011110          -58.5            -59            11000101            0.5
             56            00111000          -98.0            -98            10011110            0.0
             17            00010001          127.0            127            01111111            0.0
            -77            10110011        -100.75           -101            10011011           0.25
           -100            10011100         -128.0           -128            10000000            0.0
             85            01010101         -51.25            -51            11001101          -0.25
             83            01010011          127.0            127            01111111            0.0
             98            01100010          127.0            127            01111111            0.0
            -98            10011110           24.5             24            00011000            0.5
             57            00111001         -96.25            -96            10100000          -0.25
            -96            10100000          -54.0            -54            11001010            0.0
            -84            10101100         -128.0           -128            10000000            0.0
             -3            11111101         -128.0           -128            10000000            0.0
              0            00000000           -6.0             -6            11111010            0.0
             67            01000011         117.25            117            01110101           0.25
           -118            10001010          -72.5            -73            10110111            0.5
             77            01001101        -101.25           -101            10011011          -0.25
             28            00011100          127.0            127            01111111            0.0
           -117            10001011         -128.0           -128            10000000            0.0
            114            01110010          -34.5            -35            11011101            0.5
             66            01000010          127.0            127            01111111            0.0
             31            00011111          127.0            127            01111111            0.0
             52            00110100          127.0            127            01111111            0.0
            123            01111011          127.0            127            01111111            0.0
            -65            10111111          39.25             39            00100111           0.25
             44            00101100          -53.0            -53            11001011            0.0
             29            00011101          127.0            127            01111111            0.0
             56            00111000          127.0            127            01111111            0.0
            -95            10100001         -54.25            -54            11001010          -0.25
            -33            11011111         -128.0           -128            10000000            0.0
             10            00001010          -48.5            -49            11001111            0.5
              3            00000011          25.25             25            00011001           0.25
            -41            11010111         -65.75            -66            10111110           0.25
             52            00110100            9.0              9            00001001            0.0
           -116            10001100          -99.0            -99            10011101            0.0
           -110            10010010         -128.0           -128            10000000            0.0
           -124            10000100         -128.0           -128            10000000            0.0
           -107            10010101         -128.0           -128            10000000            0.0
             -1            11111111         -128.0           -128            10000000            0.0
             90            01011010          127.0            127            01111111            0.0
             28            00011100          127.0            127            01111111            0.0
             -2            11111110           52.5             52            00110100            0.5
            -85            10101011         -128.0           -128            10000000            0.0
            104            01101000           12.0             12            00001100            0.0
           -116            10001100          -88.0            -88            10101000            0.0
           -126            10000010         -128.0           -128            10000000            0.0
             87            01010111         -99.75           -100            10011100           0.25
           -107            10010101         -13.25            -13            11110011          -0.25
            -84            10101100         -128.0           -128            10000000            0.0
            102            01100110           10.5             10            00001010            0.5
            -16            11110000           83.0             83            01010011            0.0
              8            00001000          -18.0            -18            11101110            0.0
             67            01000011          127.0            127            01111111            0.0
              4            00000100          127.0            127            01111111            0.0
             96            01100000          127.0            127            01111111            0.0
             99            01100011          127.0            127            01111111            0.0
            -92            10100100           37.0             37            00100101            0.0
             22            00010110         -128.0           -128            10000000            0.0
              1            00000001          45.75             46            00101110          -0.25
            -18            11101110          -29.5            -30            11100010            0.5
            -80            10110000         -128.0           -128            10000000            0.0
           -102            10011010         -128.0           -128            10000000            0.0
             15            00001111         -128.0           -128            10000000            0.0
           -128            10000000         -128.0           -128            10000000            0.0
             32            00100000         -128.0           -128            10000000            0.0
           -116            10001100         -128.0           -128            10000000            0.0
           -124            10000100         -128.0           -128            10000000            0.0
            -23            11101001         -128.0           -128            10000000            0.0
            -14            11110010          -70.5            -71            10111001            0.5
            114            01110010          127.0            127            01111111            0.0
           -102            10011010          -43.5            -44            11010100            0.5
             78            01001110          -67.5            -68            10111100            0.5
             37            00100101          127.0            127            01111111            0.0
             94            01011110          127.0            127            01111111            0.0
             19            00010011          127.0            127            01111111            0.0
            -32            11100000          -18.0            -18            11101110            0.0
             50            00110010           23.5             23            00010111            0.5
             98            01100010          127.0            127            01111111            0.0
             83            01010011          127.0            127            01111111            0.0
            -22            11101010          127.0            127            01111111            0.0
             -6            11111010          -54.5            -55            11001001            0.5
            -21            11101011         -48.75            -49            11001111           0.25
            -78            10110010         -128.0           -128            10000000            0.0
            103            01100111          24.25             24            00011000           0.25
            -56            11001000           15.0             15            00001111            0.0
            -93            10100011         -128.0           -128            10000000            0.0
             53            00110101         -93.25            -93            10100011          -0.25
           -107            10010101         -81.25            -81            10101111          -0.25
             86            01010110          -63.5            -64            11000000            0.5
           -114            10001110          -27.5            -28            11100100            0.5
             30            00011110         -128.0           -128            10000000            0.0
            101            01100101          127.0            127            01111111            0.0
             35            00100011          127.0            127            01111111            0.0
            117            01110101          127.0            127            01111111            0.0
            -39            11011001          72.75             73            01001001          -0.25
            -32            11100000         -128.0           -128            10000000            0.0
            101            01100101         112.75            113            01110001          -0.25
           -106            10010110          -76.5            -77            10110011            0.5
            -60            11000100         -128.0           -128            10000000            0.0
            -28            11100100         -128.0           -128            10000000            0.0
             67            01000011          61.25             61            00111101           0.25
             29            00011101          127.0            127            01111111            0.0
           -110            10010010         -128.0           -128            10000000            0.0
            -71            10111001         -128.0           -128            10000000            0.0
           -118            10001010         -128.0           -128            10000000            0.0
             20            00010100         -128.0           -128            10000000            0.0
            -70            10111010          -82.5            -83            10101101            0.5
            -28            11100100         -128.0           -128            10000000            0.0
             80            01010000           84.0             84            01010100            0.0
            -87            10101001           7.75              8            00001000          -0.25
            -67            10111101         -128.0           -128            10000000            0.0
             33            00100001         -76.25            -76            10110100          -0.25
           -103            10011001        -114.25           -114            10001110          -0.25
            -67            10111101         -128.0           -128            10000000            0.0
            127            01111111          88.25             88            01011000           0.25
            -25            11100111         117.25            117            01110101           0.25
             -8            11111000          -64.0            -64            11000000            0.0
            -95            10100001         -128.0           -128            10000000            0.0
             55            00110111         -93.75            -94            10100010           0.25
            -69            10111011         -10.75            -11            11110101           0.25
             98            01100010           33.5             33            00100001            0.5
           -111            10010001           1.75              2            00000010          -0.25
              1            00000001         -128.0           -128            10000000            0.0
              4            00000100            9.0              9            00001001            0.0
             14            00001110           32.5             32            00100000            0.5
            124            01111100          127.0            127            01111111            0.0
            -36            11011100           92.0             92            01011100            0.0
           -112            10010000         -128.0           -128            10000000            0.0
             49            00110001         -128.0           -128            10000000            0.0
             94            01011110          127.0            127            01111111            0.0
            -79            10110001          49.75             50            00110010          -0.25
             41            00101001         -86.25            -86            10101010          -0.25
            125            01111101          127.0            127            01111111            0.0
             67            01000011          127.0            127            01111111            0.0
           -104            10011000          -48.0            -48            11010000            0.0
             -7            11111001         -128.0           -128            10000000            0.0
              6            00000110           -3.5             -4            11111100            0.5
             49            00110001          97.75             98            01100010          -0.25
            -30            11100010           45.5             45            00101101            0.5
             30            00011110           -7.5             -8            11111000            0.5
            -60            11000100          -45.0            -45            11010011            0.0
            105            01101001          63.75             64            01000000          -0.25
             72            01001000          127.0            127            01111111            0.0
             33            00100001          127.0            127            01111111            0.0
             64            01000000          127.0            127            01111111            0.0
             35            00100011          127.0            127            01111111            0.0
             61            00111101          127.0            127            01111111            0.0
            -77            10110011         -12.75            -13            11110011           0.25
             -2            11111110         -128.0           -128            10000000            0.0
            -38            11011010          -70.5            -71            10111001            0.5
              9            00001001         -60.25            -60            11000100          -0.25
            -35            11011101         -43.25            -43            11010101          -0.25
           -123            10000101         -128.0           -128            10000000            0.0
             60            00111100         -128.0           -128            10000000            0.0
           -115            10001101         -81.25            -81            10101111          -0.25
             -3            11111101         -128.0           -128            10000000            0.0
             30            00011110           46.5             46            00101110            0.5
            -41            11010111         -11.75            -12            11110100           0.25
            -39            11011001         -128.0           -128            10000000            0.0
            -26            11100110         -123.5           -124            10000100            0.5
             92            01011100          109.0            109            01101101            0.0
           -100            10011100            9.0              9            00001001            0.0
           -114            10001110         -128.0           -128            10000000            0.0
             40            00101000         -128.0           -128            10000000            0.0
             -6            11111010           69.5             69            01000101            0.5
             54            00110110           82.5             82            01010010            0.5
            -79            10110001         -30.25            -30            11100010          -0.25
            -60            11000100         -128.0           -128            10000000            0.0
            -19            11101101         -128.0           -128            10000000            0.0
            100            01100100          127.0            127            01111111            0.0
            -92            10100100           39.0             39            00100111            0.0
            -94            10100010         -128.0           -128            10000000            0.0
            -33            11011111         -128.0           -128            10000000            0.0
             82            01010010           77.5             77            01001101            0.5
           -103            10011001         -16.25            -16            11110000          -0.25
             43            00101011         -128.0           -128            10000000            0.0
            109            01101101          127.0            127            01111111            0.0
            -62            11000010           16.5             16            00010000            0.5
             24            00011000          -82.0            -82            10101110            0.0
             89            01011001          127.0            127            01111111            0.0
             12            00001100          127.0            127            01111111            0.0
             81            01010001          127.0            127            01111111            0.0
             58            00111010          127.0            127            01111111            0.0
             37            00100101          127.0            127            01111111            0.0
             98            01100010          127.0            127            01111111            0.0
           -100            10011100           21.0             21            00010101            0.0
            -91            10100101         -128.0           -128            10000000            0.0
             -1            11111111         -128.0           -128            10000000            0.0
             97            01100001          127.0            127            01111111            0.0
             83            01010011          127.0            127            01111111            0.0
             96            01100000          127.0            127            01111111            0.0
            127            01111111          127.0            127            01111111            0.0
            -43            11010101          85.75             86            01010110          -0.25
             22            00010110          -47.5            -48            11010000            0.5
            -43            11010101         -31.25            -31            11100001          -0.25
           -111            10010001         -128.0           -128            10000000            0.0
              9            00001001         -128.0           -128            10000000            0.0
            -77            10110011        -116.75           -117            10001011           0.25
             94            01011110           10.5             10            00001010            0.5
             95            01011111          127.0            127            01111111            0.0
             28            00011100          127.0            127            01111111            0.0
            -15            11110001          29.75             30            00011110          -0.25
            -99            10011101         -128.0           -128            10000000            0.0
           -100            10011100         -128.0           -128            10000000            0.0
            111            01101111          -5.75             -6            11111010           0.25
            -55            11001001          32.75             33            00100001          -0.25
            -57            11000111         -128.0           -128            10000000            0.0
             89            01011001          41.75             42            00101010          -0.25
             60            00111100          127.0            127            01111111            0.0
             82            01010010          127.0            127            01111111            0.0
            -69            10111011          43.25             43            00101011           0.25
            -98            10011110         -128.0           -128            10000000            0.0
             72            01001000          -70.0            -70            10111010            0.0
             82            01010010          127.0            127            01111111            0.0
             66            01000010          127.0            127            01111111            0.0
            -26            11100110           86.5             86            01010110            0.5
