         in int              in bit       out real    out sim int         out sim bit          error
             95            01011111          127.0            127            01111111            0.0
            -31            11100001          127.0            127            01111111            0.0
             60            00111100           43.0             43            00101011            0.0
             82            01010010          127.0            127            01111111            0.0
            112            01110000          127.0            127            01111111            0.0
             25            00011001          127.0            127            01111111            0.0
             86            01010110          127.0            127            01111111            0.0
             41            00101001          127.0            127            01111111            0.0
             84            01010100          127.0            127            01111111            0.0
            117            01110101          127.0            127            01111111            0.0
            -83            10101101          -4.25             -4            11111100          -0.25
             65            01000001         -52.25            -52            11001100          -0.25
             79            01001111          127.0            127            01111111            0.0
            -21            11101011         121.25            122            01111010          -0.75
             38            00100110           24.5             25            00011001           -0.5
             58            00111010          127.0            127            01111111            0.0
             32            00100000          127.0            127            01111111            0.0
              0            00000000           64.0             64            01000000            0.0
            -96            10100000         -128.0           -128            10000000            0.0
           -109            10010011         -128.0           -128            10000000            0.0
             92            01011100          -57.0            -57            11000111            0.0
            -29            11100011          127.0            127            01111111            0.0
            102            01100110          120.5            121            01111001           -0.5
            -72            10111000          -15.0            -15            11110001            0.0
            -35            11011101         -128.0           -128            10000000            0.0
              8            00001000          -56.0            -56            11001000            0.0
            -76            10110100         -117.0           -117            10001011            0.0
            -94            10100010         -128.0           -128            10000000            0.0
            -26            11100110         -128.0           -128            10000000            0.0
            -59            11000101         -128.0           -128            10000000            0.0
            110            01101110           74.5             75            01001011           -0.5
             15            00001111          127.0            127            01111111            0.0
             -7            11111001          17.75             18            00010010          -0.25
             48            00110000           70.0             70            01000110            0.0
             72            01001000          127.0            127            01111111            0.0
            -12            11110100          123.0            123            01111011            0.0
             22            00010110           14.5             15            00001111           -0.5
            -99            10011101         -128.0           -128            10000000            0.0
            -25            11100111         -128.0           -128            10000000            0.0
             11            00001011         -30.75            -30            11100010          -0.75
            101            01100101          127.0            127            01111111            0.0
             42            00101010          127.0            127            01111111            0.0
            102            01100110          127.0            127            01111111            0.0
             54            00110110          127.0            127            01111111            0.0
            -55            11001001          11.75             12            00001100          -0.25
            -61            11000011         -128.0           -128            10000000            0.0
              4            00000100         -115.0           -115            10001101            0.0
             71            01000111          127.0            127            01111111            0.0
           -110            10010010          -50.5            -50            11001110           -0.5
             69            01000101         -99.25            -99            10011101          -0.25
            127            01111111          127.0            127            01111111            0.0
           -105            10010111         -22.75            -22            11101010          -0.75
            -63            11000001         -128.0           -128            10000000            0.0
            -57            11000111         -128.0           -128            10000000            0.0
             72            01001000           12.0             12            00001100            0.0
             68            01000100          127.0            127            01111111            0.0
            -44            11010100           59.0             59            00111011            0.0
             10            00001010          -70.5            -70            10111010           -0.5
             55            00110111         116.25            117            01110101          -0.75
             -7            11111001          97.75             98            01100010          -0.25
             61            00111101          92.75             93            01011101          -0.25
             32            00100000          127.0            127            01111111            0.0
             39            00100111          127.0            127            01111111            0.0
             71            01000111          127.0            127            01111111            0.0
             84            01010100          127.0            127            01111111            0.0
            114            01110010          127.0            127            01111111            0.0
            -18            11101110          103.5            104            01101000           -0.5
            -66            10111110         -128.0           -128            10000000            0.0
             19            00010011         -98.75            -98            10011110          -0.75
             17            00010001          67.75             68            01000100          -0.25
              9            00001001          49.75             50            00110010          -0.25
              3            00000011          23.25             24            00011000          -0.75
           -120            10001000         -128.0           -128            10000000            0.0
           -119            10001001         -128.0           -128            10000000            0.0
            101            01100101         -61.25            -61            11000011          -0.25
            111            01101111          127.0            127            01111111            0.0
           -104            10011000          -53.0            -53            11001011            0.0
             79            01001111         -69.75            -69            10111011          -0.75
              7            00000111          127.0            127            01111111            0.0
            112            01110000          127.0            127            01111111            0.0
            -34            11011110           71.5             72            01001000           -0.5
              3            00000011         -62.75            -62            11000010          -0.75
             -9            11110111          -9.75             -9            11110111          -0.75
            -52            11001100         -109.0           -109            10010011            0.0
           -125            10000011         -128.0           -128            10000000            0.0
            -88            10101000         -128.0           -128            10000000            0.0
             38            00100110         -109.5           -109            10010011           -0.5
            -86            10101010          -74.5            -74            10110110           -0.5
            115            01110011          29.25             30            00011110          -0.75
             74            01001010          127.0            127            01111111            0.0
            -85            10101011          -0.75              0            00000000          -0.75
           -107            10010101         -128.0           -128            10000000            0.0
            -59            11000101         -128.0           -128            10000000            0.0
            108            01101100           71.0             71            01000111            0.0
           -119            10001001         -85.25            -85            10101011          -0.25
           -102            10011010         -128.0           -128            10000000            0.0
            -39            11011001         -128.0           -128            10000000            0.0
              5            00000101         -69.25            -69            10111011          -0.25
            -10            11110110           -7.5             -7            11111001           -0.5
             46            00101110           60.5             61            00111101           -0.5
            -25            11100111          48.25             49            00110001          -0.75
            -70            10111010         -128.0           -128            10000000            0.0
             22            00010110         -101.5           -101            10011011           -0.5
           -118            10001010         -128.0           -128            10000000            0.0
            116            01110100          -33.0            -33            11011111            0.0
             52            00110100          127.0            127            01111111            0.0
            -89            10100111         -51.75            -51            11001101          -0.75
            -87            10101001         -128.0           -128            10000000            0.0
            -43            11010101         -128.0           -128            10000000            0.0
             86            01010110           64.5             65            01000001           -0.5
             59            00111011          127.0            127            01111111            0.0
            123            01111011          127.0            127            01111111            0.0
            -70            10111010           30.5             31            00011111           -0.5
             19            00010011        -106.75           -106            10010110          -0.75
            -27            11100101          -9.25             -9            11110111          -0.25
             98            01100010          117.5            118            01110110           -0.5
             54            00110110          127.0            127            01111111            0.0
            -90            10100110          -49.5            -49            11001111           -0.5
           -114            10001110         -128.0           -128            10000000            0.0
            -14            11110010         -128.0           -128            10000000            0.0
             35            00100011          33.25             34            00100010          -0.75
            122            01111010          127.0            127            01111111            0.0
            -46            11010010           70.5             71            01000111           -0.5
            -69            10111011         -128.0           -128            10000000            0.0
             60            00111100          -33.0            -33            11011111            0.0
            -25            11100111          76.25             77            01001101          -0.75
            -27            11100101         -97.25            -97            10011111          -0.25
            123            01111011          127.0            127            01111111            0.0
            -62            11000010           44.5             45            00101101           -0.5
             12            00001100         -103.0           -103            10011001            0.0
           -122            10000110         -128.0           -128            10000000            0.0
            118            01110110          -37.5            -37            11011011           -0.5
             72            01001000          127.0            127            01111111            0.0
            -27            11100101          96.75             97            01100001          -0.25
           -118            10001010         -128.0           -128            10000000            0.0
             52            00110100         -128.0           -128            10000000            0.0
           -121            10000111        -107.75           -107            10010101          -0.75
             50            00110010         -128.0           -128            10000000            0.0
           -102            10011010          -78.5            -78            10110010           -0.5
            117            01110101           0.75              1            00000001          -0.25
             98            01100010          127.0            127            01111111            0.0
           -101            10011011          19.25             20            00010100          -0.75
            -46            11010010         -128.0           -128            10000000            0.0
             67            01000011          25.25             26            00011010          -0.75
           -128            10000000          -90.0            -90            10100110            0.0
             -5            11111011         -128.0           -128            10000000            0.0
             36            00100100           53.0             53            00110101            0.0
            -14            11110010           47.5             48            00110000           -0.5
             -7            11111001         -40.25            -40            11011000          -0.25
             98            01100010          127.0            127            01111111            0.0
             37            00100101          127.0            127            01111111            0.0
            -36            11011100           11.0             11            00001011            0.0
              6            00000110          -61.5            -61            11000011           -0.5
            126            01111110          127.0            127            01111111            0.0
             19            00010011          127.0            127            01111111            0.0
            -97            10011111         -128.0           -128            10000000            0.0
            102            01100110          -15.5            -15            11110001           -0.5
           -101            10011011         -65.75            -65            10111111          -0.75
             45            00101101        -123.25           -123            10000101          -0.25
             -8            11111000           76.0             76            01001100            0.0
             89            01011001          127.0            127            01111111            0.0
            -98            10011110            6.5              7            00000111           -0.5
             81            01010001         -54.25            -54            11001010          -0.25
            102            01100110          127.0            127            01111111            0.0
            120            01111000          127.0            127            01111111            0.0
           -109            10010011         -43.75            -43            11010101          -0.75
             87            01010111         -65.75            -65            10111111          -0.75
            -53            11001011          81.25             82            01010010          -0.75
             -6            11111010         -116.5           -116            10001100           -0.5
            -45            11010011         -90.75            -90            10100110          -0.75
            -60            11000100         -128.0           -128            10000000            0.0
            -13            11110011         -128.0           -128            10000000            0.0
             39            00100111          42.25             43            00101011          -0.75
           -104            10011000         -104.0           -104            10011000            0.0
             41            00101001         -128.0           -128            10000000            0.0
            -15            11110001          55.75             56            00111000          -0.25
           -124            10000100         -128.0           -128            10000000            0.0
            109            01101101         -57.25            -57            11000111          -0.25
            127            01111111          127.0            127            01111111            0.0
            -34            11011110          101.5            102            01100110           -0.5
           -120            10001000         -128.0           -128            10000000            0.0
            -42            11010110         -128.0           -128            10000000            0.0
           -118            10001010         -128.0           -128            10000000            0.0
            101            01100101         -59.25            -59            11000101          -0.25
              8            00001000          123.0            123            01111011            0.0
           -120            10001000         -128.0           -128            10000000            0.0
             -5            11111011         -128.0           -128            10000000            0.0
            -24            11101000          -52.0            -52            11001100            0.0
            -63            11000001         -128.0           -128            10000000            0.0
            -24            11101000         -128.0           -128            10000000            0.0
             21            00010101         -11.25            -11            11110101          -0.25
           -116            10001100         -128.0           -128            10000000            0.0
             94            01011110          -67.5            -67            10111101           -0.5
            -53            11001011          95.25             96            01100000          -0.75
            -13            11110011         -128.0           -128            10000000            0.0
              7            00000111         -13.75            -13            11110011          -0.75
             18            00010010           45.5             46            00101110           -0.5
            -90            10100110         -121.5           -121            10000111           -0.5
             97            01100001         -10.25            -10            11110110          -0.25
            -52            11001100          103.0            103            01100111            0.0
           -118            10001010         -128.0           -128            10000000            0.0
             87            01010111         -83.75            -83            10101101          -0.75
           -118            10001010          -32.5            -32            11100000           -0.5
             -1            11111111         -128.0           -128            10000000            0.0
            104            01101000          127.0            127            01111111            0.0
            -29            11100011          64.25             65            01000001          -0.75
             19            00010011         -24.75            -24            11101000          -0.75
            -69            10111011         -82.75            -82            10101110          -0.75
