         in int              in bit       out real    out sim int         out sim bit          error
            -28            11100100          -49.0            -49            11001111            0.0
           -119            10001001         -128.0           -128            10000000            0.0
            -33            11011111         -128.0           -128            10000000            0.0
           -116            10001100         -128.0           -128            10000000            0.0
             45            00101101         -128.0           -128            10000000            0.0
           -114            10001110         -109.5           -110            10010010            0.5
             -6            11111010         -128.0           -128            10000000            0.0
            -55            11001001        -108.25           -108            10010100          -0.25
            -97            10011111         -128.0           -128            10000000            0.0
             46            00101110         -113.5           -114            10001110            0.5
            -97            10011111         -77.75            -78            10110010           0.25
            -47            11010001         -128.0           -128            10000000            0.0
            107            01101011          93.25             93            01011101           0.25
            -56            11001000           23.0             23            00010111            0.0
           -126            10000010         -128.0           -128            10000000            0.0
            -73            10110111         -128.0           -128            10000000            0.0
             94            01011110           18.5             18            00010010            0.5
             23            00010111          127.0            127            01111111            0.0
             81            01010001          127.0            127            01111111            0.0
            -12            11110100          127.0            127            01111111            0.0
           -123            10000101         -128.0           -128            10000000            0.0
            -29            11100011         -128.0           -128            10000000            0.0
            -98            10011110         -128.0           -128            10000000            0.0
            -83            10101101         -128.0           -128            10000000            0.0
             93            01011101          -3.25             -3            11111101          -0.25
            -14            11110010          127.0            127            01111111            0.0
              2            00000010          -24.5            -25            11100111            0.5
            -71            10111001        -120.25           -120            10001000          -0.25
            -93            10100011         -128.0           -128            10000000            0.0
           -123            10000101         -128.0           -128            10000000            0.0
            -82            10101110         -128.0           -128            10000000            0.0
             77            01001101         -29.25            -29            11100011          -0.25
             97            01100001          127.0            127            01111111            0.0
            -15            11110001          127.0            127            01111111            0.0
             41            00101001          41.75             42            00101010          -0.25
            103            01100111          127.0            127            01111111            0.0
            -85            10101011         -35.75            -36            11011100           0.25
            114            01110010           29.5             29            00011101            0.5
             17            00010001          127.0            127            01111111            0.0
             -7            11111001          21.75             22            00010110          -0.25
            102            01100110          127.0            127            01111111            0.0
           -116            10001100          -92.0            -92            10100100            0.0
            -60            11000100         -128.0           -128            10000000            0.0
            -19            11101101         -128.0           -128            10000000            0.0
             76            01001100           95.0             95            01011111            0.0
            -42            11010110           78.5             78            01001110            0.5
              0            00000000          -84.0            -84            10101100            0.0
             42            00101010           73.5             73            01001001            0.5
             29            00011101          127.0            127            01111111            0.0
            -80            10110000          -82.0            -82            10101110            0.0
           -128            10000000         -128.0           -128            10000000            0.0
           -113            10001111         -128.0           -128            10000000            0.0
             -1            11111111         -128.0           -128            10000000            0.0
           -127            10000001         -128.0           -128            10000000            0.0
             71            01000111         -128.0           -128            10000000            0.0
             66            01000010          127.0            127            01111111            0.0
             20            00010100          127.0            127            01111111            0.0
             12            00001100           61.0             61            00111101            0.0
            -64            11000000          -88.0            -88            10101000            0.0
            -13            11110011         -128.0           -128            10000000            0.0
             60            00111100           79.0             79            01001111            0.0
            118            01110110          127.0            127            01111111            0.0
             27            00011011          127.0            127            01111111            0.0
           -109            10010011         -128.0           -128            10000000            0.0
           -122            10000110         -128.0           -128            10000000            0.0
           -108            10010100         -128.0           -128            10000000            0.0
            -61            11000011         -128.0           -128            10000000            0.0
            -71            10111001         -128.0           -128            10000000            0.0
              5            00000101         -128.0           -128            10000000            0.0
            -73            10110111        -117.75           -118            10001010           0.25
            -63            11000001         -128.0           -128            10000000            0.0
            116            01110100           77.0             77            01001101            0.0
           -122            10000110          -74.5            -75            10110101            0.5
             18            00010010         -128.0           -128            10000000            0.0
            -89            10100111        -119.75           -120            10001000           0.25
             31            00011111        -123.75           -124            10000100           0.25
            -15            11110001          35.75             36            00100100          -0.25
            -63            11000001         -128.0           -128            10000000            0.0
             97            01100001          43.75             44            00101100          -0.25
            -64            11000000           82.0             82            01010010            0.0
             10            00001010         -110.5           -111            10010001            0.5
             39            00100111          88.25             88            01011000           0.25
             58            00111010          127.0            127            01111111            0.0
            -50            11001110           28.5             28            00011100            0.5
           -119            10001001         -128.0           -128            10000000            0.0
            107            01101011         -50.75            -51            11001101           0.25
            -17            11101111          91.25             91            01011011           0.25
             32            00100000           22.0             22            00010110            0.0
            -15            11110001          37.75             38            00100110          -0.25
             67            01000011          87.25             87            01010111           0.25
             51            00110011          127.0            127            01111111            0.0
